timestamp,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm
2021-12-16 00:00:00,43.81,55.34,111.2,99.902,0.012,1116.0
2021-12-16 01:00:00,34.51,50.98,115.8,99.951,0.035,1175.0
2021-12-16 02:00:00,35.4,51.92,120.7,99.974,0.043,814.0
2021-12-16 03:00:00,35.48,56.4,105.4,99.977,0.035,1082.0
2021-12-16 04:00:00,34.96,52.16,94.5,99.961,0.027,817.0
2021-12-16 05:00:00,35.09,53.68,121.2,99.916,0.014,1129.0
2021-12-16 06:00:00,37.68,58.13,147.4,99.957,0.028,867.0
2021-12-16 07:00:00,33.33,53.41,137.8,99.987,0.041,824.0
2021-12-16 08:00:00,31.19,54.18,83.2,99.941,0.028,1013.0
2021-12-16 09:00:00,35.94,59.96,81.7,99.961,0.047,832.0
2021-12-16 10:00:00,34.87,56.52,105.7,99.988,0.027,879.0
2021-12-16 11:00:00,41.29,51.53,103.7,99.917,0.047,1155.0
2021-12-16 12:00:00,38.94,55.46,112.3,99.97,0.025,1112.0
2021-12-16 13:00:00,30.81,50.37,145.7,99.908,0.033,1152.0
2021-12-16 14:00:00,34.93,52.89,83.7,99.97,0.039,1192.0
2021-12-16 15:00:00,89.33,59.42,1876.2,94.62,8.48,910.0
2021-12-16 16:00:00,85.57,59.46,1647.7,94.191,4.765,815.0
2021-12-16 17:00:00,90.31,54.11,2559.5,94.847,9.463,1162.0
2021-12-16 18:00:00,89.36,52.05,2382.4,97.353,9.892,1153.0
2021-12-16 19:00:00,32.9,59.61,137.1,99.995,0.038,1000.0
2021-12-16 20:00:00,43.86,59.76,144.4,99.995,0.011,1170.0
2021-12-16 21:00:00,42.35,51.53,94.8,99.985,0.046,1115.0
2021-12-16 22:00:00,37.88,50.67,132.9,99.917,0.023,896.0
2021-12-16 23:00:00,40.61,57.5,116.1,99.928,0.016,899.0
