timestamp,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm
2021-09-04 00:00:00,44.25,55.16,135.0,99.993,0.025,1186.0
2021-09-04 01:00:00,37.9,58.36,81.8,99.907,0.023,1010.0
2021-09-04 02:00:00,38.27,55.36,108.0,99.984,0.031,1158.0
2021-09-04 03:00:00,42.98,53.42,97.9,99.945,0.044,1059.0
2021-09-04 04:00:00,43.8,52.54,146.4,99.982,0.015,959.0
2021-09-04 05:00:00,36.64,53.37,99.2,99.944,0.014,874.0
2021-09-04 06:00:00,33.86,54.14,132.2,99.936,0.024,1178.0
2021-09-04 07:00:00,30.06,55.66,118.1,99.919,0.048,1118.0
2021-09-04 08:00:00,36.73,52.97,84.7,99.947,0.041,939.0
2021-09-04 09:00:00,35.45,58.4,148.6,99.929,0.032,862.0
2021-09-04 10:00:00,44.52,50.16,88.7,99.931,0.033,992.0
2021-09-04 11:00:00,34.3,50.01,123.8,99.978,0.033,907.0
2021-09-04 12:00:00,32.54,51.44,113.1,99.934,0.019,963.0
2021-09-04 13:00:00,36.2,52.03,85.3,99.906,0.045,871.0
2021-09-04 14:00:00,31.23,55.87,110.5,99.923,0.026,1162.0
2021-09-04 15:00:00,38.23,57.57,114.8,99.989,0.042,1053.0
2021-09-04 16:00:00,37.76,58.9,147.0,99.904,0.023,987.0
2021-09-04 17:00:00,85.74,54.85,1694.6,97.848,8.058,1128.0
2021-09-04 18:00:00,91.4,52.81,1693.4,97.502,7.607,853.0
2021-09-04 19:00:00,91.47,51.35,2865.1,97.535,5.239,918.0
2021-09-04 20:00:00,89.49,52.31,2008.6,97.329,5.895,1067.0
2021-09-04 21:00:00,90.78,58.72,2539.2,94.366,7.029,1131.0
2021-09-04 22:00:00,35.68,58.47,113.6,99.997,0.01,947.0
2021-09-04 23:00:00,31.81,51.29,93.1,99.913,0.032,1060.0
