timestamp,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm
2021-04-15 00:00:00,35.39,53.08,94.0,99.902,0.02,1002.0
2021-04-15 01:00:00,42.08,51.29,118.4,99.933,0.04,961.0
2021-04-15 02:00:00,37.0,50.99,116.0,99.948,0.013,969.0
2021-04-15 03:00:00,32.35,50.92,102.9,99.941,0.036,1083.0
2021-04-15 04:00:00,91.88,53.04,2196.1,95.479,7.759,1087.0
2021-04-15 05:00:00,93.88,59.53,2537.2,95.643,8.382,909.0
2021-04-15 06:00:00,94.57,58.71,1983.6,96.438,7.772,989.0
2021-04-15 07:00:00,88.34,51.86,1806.0,95.014,8.42,1146.0
2021-04-15 08:00:00,87.33,55.56,2078.4,95.173,9.283,1090.0
2021-04-15 09:00:00,39.93,50.22,116.1,99.954,0.017,834.0
2021-04-15 10:00:00,34.51,52.33,92.4,99.999,0.023,1060.0
2021-04-15 11:00:00,34.62,57.81,149.4,99.999,0.05,1038.0
2021-04-15 12:00:00,41.74,58.36,146.9,99.94,0.02,1192.0
2021-04-15 13:00:00,35.21,52.95,103.1,99.951,0.019,1165.0
2021-04-15 14:00:00,44.49,53.41,148.4,99.917,0.021,819.0
2021-04-15 15:00:00,39.96,50.31,89.4,99.98,0.048,1157.0
2021-04-15 16:00:00,39.48,51.37,139.9,99.968,0.039,860.0
2021-04-15 17:00:00,33.0,55.43,133.0,99.91,0.013,967.0
2021-04-15 18:00:00,31.46,59.04,115.8,99.983,0.031,1028.0
2021-04-15 19:00:00,36.87,52.15,117.9,99.997,0.02,989.0
2021-04-15 20:00:00,32.66,52.05,100.0,99.974,0.041,891.0
2021-04-15 21:00:00,33.12,51.72,111.7,99.929,0.012,1046.0
2021-04-15 22:00:00,31.14,57.47,117.3,99.997,0.046,1087.0
2021-04-15 23:00:00,34.01,59.71,128.0,99.944,0.04,1024.0
