timestamp,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm
2021-08-18 00:00:00,95.41,59.37,2977.8,96.838,7.417,900.0
2021-08-18 01:00:00,85.84,53.62,2518.7,94.549,7.945,1063.0
2021-08-18 02:00:00,92.67,50.88,2831.2,97.904,4.349,1007.0
2021-08-18 03:00:00,90.03,57.09,2175.4,96.08,7.597,1178.0
2021-08-18 04:00:00,91.02,57.99,2155.5,97.725,5.738,1179.0
2021-08-18 05:00:00,94.58,51.56,2046.7,94.801,4.986,965.0
2021-08-18 06:00:00,38.13,58.19,83.4,99.95,0.048,940.0
2021-08-18 07:00:00,31.43,59.29,124.7,99.917,0.04,950.0
2021-08-18 08:00:00,35.88,59.04,96.8,99.94,0.031,876.0
2021-08-18 09:00:00,44.69,57.88,106.5,99.907,0.018,1082.0
2021-08-18 10:00:00,37.31,54.94,133.2,99.943,0.026,847.0
2021-08-18 11:00:00,39.45,57.61,148.4,99.946,0.02,1031.0
2021-08-18 12:00:00,36.4,55.47,126.8,99.93,0.029,822.0
2021-08-18 13:00:00,39.39,54.58,100.7,99.964,0.013,857.0
2021-08-18 14:00:00,44.6,53.3,80.8,99.928,0.012,827.0
2021-08-18 15:00:00,38.33,53.48,90.5,99.978,0.042,1126.0
2021-08-18 16:00:00,35.43,52.61,126.3,99.963,0.034,1132.0
2021-08-18 17:00:00,36.57,59.06,142.2,99.902,0.042,1062.0
2021-08-18 18:00:00,35.33,55.25,93.8,99.92,0.034,909.0
2021-08-18 19:00:00,30.29,55.95,81.0,99.929,0.045,1200.0
2021-08-18 20:00:00,36.08,57.81,134.0,99.953,0.03,966.0
2021-08-18 21:00:00,43.27,51.78,110.5,99.934,0.036,1086.0
2021-08-18 22:00:00,31.69,52.41,117.5,99.982,0.045,1114.0
2021-08-18 23:00:00,33.14,58.92,113.5,99.917,0.04,1071.0
