timestamp,cpu_usage_pct,memory_usage_pct,latency_ms,availability_pct,error_rate_pct,traffic_rpm
2021-05-09 00:00:00,39.51,55.56,146.8,99.904,0.045,939.0
2021-05-09 01:00:00,44.45,57.33,99.5,99.91,0.039,872.0
2021-05-09 02:00:00,37.61,53.39,81.0,99.999,0.012,1194.0
2021-05-09 03:00:00,44.6,54.35,89.0,99.934,0.043,923.0
2021-05-09 04:00:00,43.79,57.39,121.6,99.926,0.031,1018.0
2021-05-09 05:00:00,38.29,53.28,100.9,99.904,0.035,832.0
2021-05-09 06:00:00,33.08,59.37,80.5,99.951,0.021,1025.0
2021-05-09 07:00:00,38.52,54.12,105.1,99.954,0.012,1109.0
2021-05-09 08:00:00,33.12,56.02,129.2,99.914,0.019,963.0
2021-05-09 09:00:00,35.09,56.53,133.0,99.962,0.028,1054.0
2021-05-09 10:00:00,33.32,51.21,116.9,99.908,0.011,897.0
2021-05-09 11:00:00,42.31,50.42,87.1,99.972,0.046,1182.0
2021-05-09 12:00:00,31.63,57.27,140.4,99.965,0.028,1156.0
2021-05-09 13:00:00,31.84,56.93,146.3,99.92,0.043,875.0
2021-05-09 14:00:00,32.79,52.38,92.3,99.923,0.043,1070.0
2021-05-09 15:00:00,30.89,56.74,96.9,99.996,0.025,945.0
2021-05-09 16:00:00,32.06,58.77,110.7,99.97,0.038,1076.0
2021-05-09 17:00:00,39.82,56.84,110.8,99.912,0.029,1082.0
2021-05-09 18:00:00,40.35,57.48,91.5,99.994,0.023,962.0
2021-05-09 19:00:00,41.3,52.68,110.4,99.923,0.041,835.0
2021-05-09 20:00:00,94.36,55.07,2730.8,95.537,4.31,1084.0
2021-05-09 21:00:00,94.83,52.87,1563.0,97.405,9.95,943.0
2021-05-09 22:00:00,85.41,51.03,2898.1,97.672,5.848,1002.0
2021-05-09 23:00:00,91.85,54.89,1776.3,96.761,5.52,1192.0
